2012-11-08;Norway;Oslo;Nasjonal Jazzscene;With Sidsel Endresen and more;;streifenjunko;
2012-11-10;Norway;Oslo;Ila Fysikalske;With Danielle Dahl and Toshi Nakamura;;;
2012-11-21;UK;Leeds;Leeds College of Music;Christian Wallumrød Ensemble;;;
2012-11-23;Belgium;Gent;Vooruit;Christian Wallumrød Ensemble;;;
2013-01-14;Sweden;Gothenburg;Viktors Kaffe;Streifenjunko;;streifenjunko;
2013-01-23;UK;London;Café Oto;Streifenjunko;;streifenjunko;
2013-01-24;France;Paris;Maison de Norvège;Streifenjunko;;streifenjunko;
2013-02-01;Turkey;Istanbul;Borusan Music House;Christian Wallumrød Ensemble;;;
2013-04-16;Norway;Oslo;Ny Musikk;With Sheriff of Nothingness and more;;streifenjunko;
2013-04-20;Norway;Arendal;Bomuldsfabriken Kunsthall;Streifenjunko;;streifenjunko;
2013-04-27;Germany;Bremen;Sendesaal;Ensemble Denada;;;
2013-06-20;USA;Washington DC;Twins Jazz;Christian Wallumrød Ensemble;;;
2013-06-21;USA;New York;Rubin Museum;Christian Wallumrød Ensemble;;;
2013-06-22;USA;Philadelphia;Art Alliance;Christian Wallumrød Ensemble;;;
2013-06-23;USA;Rochester;International Jazz festival;Christian Wallumrød Ensemble;;;
2013-06-24;Canada;Ottawa;International Jazz Festival;Christian Wallumrød Ensemble;;;
2013-06-26;Canada;Vancouver;International Jazz festival;Christian Wallumrød Ensemble;;;
2013-07-24;Austria;Krems;;Christian Wallumrød Ensemble;;;
2013-08-16;Japan;Tokyo;Apollo;Streifenjunko;;streifenjunko;
2013-08-18;Japan;Tokyo;Ftarri;Streifenjunko;;streifenjunko;
2013-08-21;Japan;Tokyo;Super Deluxe;Streifenjunko;;streifenjunko;
2013-08-22;Japan;Chiba;Candy;Streifenjunko;;streifenjunko;
2013-08-23;Japan;Kyoto;Café Yasurago;Streifenjunko;;streifenjunko;
2013-08-24;Japan;Osaka;Common Café;Streifenjunko;;streifenjunko;
2013-09-12;Norway;Oslo;Ultima (Akershus slottskirke);Streifenjunko;;streifenjunko;
2013-09-12;Norway;Oslo;Ultima;Streifenjunko;;streifenjunko;
2013-09-21;Norway;Oppdal;;Christian Wallumrød Ensemble;;;
2013-10-02;Germany;Cologne;Atelier Dürrenfeld;Streifenjunko;;streifenjunko;
2013-10-03;Germany;Wuppertal;Ort, Luisenstrasse;Streifenjunko;;streifenjunko;
2013-10-04;Germany;Bochum;Kunstmuseum Bochum;Streifenjunko;;streifenjunko;
2013-10-05;Germany;Aachen;;Streifenjunko;;streifenjunko;
2013-10-06;Germany;Münster;Black Box;Streifenjunko;;streifenjunko;
2013-10-07;Germany;Essen;Goethebunker;Streifenjunko;;streifenjunko;
2013-10-23;Norway;Oslo;Riksscenen;Trondheim Jazz Orchestra w/ Sofia Jernberg;;;
2013-10-26;Sweden;Umeå;Umeå Jazz Festival;Trondheim Jazz Orchestra w/ Sofia Jernberg;;;
2013-10-31;Norway;Inderøy;Inderøy Jazzforum;Koboku Senju;;;
2013-11-01;Norway;Trondheim;Klubb Kanin;Koboku Senju;;;
2013-11-02;Norway;Arendal;Bomuldsfabriken Kunsthall;Koboku Senju;;;
2013-11-03;Germany;Berlin;Ausland;Koboku Senju;;;
2013-11-06;Norway;Oslo;Kunstnernes Hus;Koboku Senju;;;
2013-11-07;Norway;Stavanger;Galleri Sult, Ny Musikk Stavanger;Koboku Senju;;;
2013-11-08;Sweden;Stockholm;Sound of Stockholm;Koboku Senju;;;
2013-11-10;Netherland;Den Bosch;November Music;Christian Wallumrød Ensemble;;;
2014-01-26;Norway;Brekstad;Upop;Streifenjunko;;streifenjunko;
2014-02-20;Norway;Oslo;Victoria;Christian Wallumrød Ensemble;;;
2014-02-21;Netherlands;Tilburg;Paradox;Christian Wallumrød Ensemble;;;
2014-02-22;Netherlands;Amsterdam;Bimhuis;Christian Wallumrød Ensemble;;;
2014-02-23;UK;Bristol;St George's;Christian Wallumrød Ensemble;;;
2014-02-25;UK;London;Vortex;Christian Wallumrød Ensemble;;;
2014-02-26;France;Paris;Maison de Norvège;Christian Wallumrød Ensemble;;;
2014-03-26;Norway;Oslo;Victoria;Streifenjunko;;streifenjunko;
2014-03-28;Norway;Oslo;Academy of Music;Streifenjunko;;streifenjunko;
2014-04-23;Japan;Kyoto;RAG;Christian Wallumrød Ensemble;;;
2014-04-24;Japan;Jyoetsu;Jyokoji (Temple);Christian Wallumrød Ensemble;;;
2014-04-25;Japan;Tokyo;Karura Hall;Christian Wallumrød Ensemble;;;
2014-04-26;Japan;Kobe;Kyu-Guggenheim-Tei;Christian Wallumrød Ensemble;;;
2014-04-27;Japan;Tokyo;Pit Inn;Christian Wallumrød Ensemble;;;
2014-05-25;Norway;Bergen;Nattjazz Festival;Christian Wallumrød Ensemble;;;
2014-05-30;France;Paris;Saint-Merry;With Zach, Blondy and Lønning;;streifenjunko;
2014-07-02;Norway;Kongsberg;Kongsberg Jazzfestival;TJO and Christian Wallumrød;;;
2014-07-14;Norway;Molde;Molde Jazz Festival;Sidsel Endresen Sekstetten;;streifenjunko;
2014-08-02;Sweden;Dala-floda;Hagenfesten;Streifenjunko and Sheriffs of Nothingness;;streifenjunko;
2014-08-29;France;Mulhouse;Météo Festival;TJO and Kim Myhr;;;
2014-09-04;Norway;Kristiansand;Punkt festival;Streifenjunko and Sheriffs of Nothingness;;streifenjunko;
2014-09-05;Norway;Kristiansand;Punkt festival;Wolff's Edges performance;;streifenjunko;
2014-09-26;France;Paris;Crak Festival;Streifenjunko;;streifenjunko;
2014-10-11;Sweden;Stockholm;Stockholm Jazzfestival;TJO and Sofia Jernberg;;;
2014-10-15;UK;York;York University;Christian Wallumrød Ensemble;;;
2014-10-17;Scotland;Edinburgh;Queens Hall;Christian Wallumrød Ensemble;;;
2014-10-18;Netherland;Wageningen;Teater Junushoff;Christian Wallumrød Ensemble;;;
2014-10-20;Netherland;Eindhoven;Axesjazzpower;Christian Wallumrød Ensemble;;;
2014-10-21;Netherland;Maasmechelen;CC Maasmechelen;Christian Wallumrød Ensemble;;;
2014-10-22;Switzerland;Bern;Bee Flat;Christian Wallumrød Ensemble;;;
2014-10-26;France;Fresnes-en-Woëvre;Festival Densités;Streifenjunko;;streifenjunko;
2014-11-18;Norway;Oslo;Mir;With Pak Yan Lau;;;
2014-11-23;UK;Somerset;Cooper Hall;Streifenjunko;;streifenjunko;
2014-12-15;Sweden;Gothenburg;Klubb Sjukt;Streifenjunko;;streifenjunko;
2014-12-19;Norway;Oslo;Bidrobon;Streifenjunko;;streifenjunko;
2015-01-16;Norway;Trondheim;Dokkhuset;Trondheim Jazz Orchestra;;;
2015-01-17;Norway;Oslo;Victoria;Trondheim Jazz Orchestra;;;
2015-01-18;Norway;Bergen;Bergen Jazzforum;Trondheim Jazz Orchestra;;;
2015-02-28;Italy;Rovereto;Sala Filarmonica;Christian Wallumrød Ensemble;;;
2015-03-02;Romania;Bucharest;National Theatre;Christian Wallumrød Ensemble;;;
2015-03-03;Italy;Modena;Teatro delle Passioni;Christian Wallumrød Ensemble;;;
2015-03-04;Italy;Rome;Casa del Jazz;Christian Wallumrød Ensemble;;;
2015-03-06;Norway;Moss;;Christian Wallumrød Ensemble;;;
2015-03-08;Greece;Athens;Borderline festival;Streifenjunko;;streifenjunko;
2015-04-08;Czech Republic;Prague;Punkt meets Infinity Festival;Streifenjunko and Sheriffs of Nothingness;;streifenjunko;
2015-04-09;Czech Republic;Prague;Punkt meets Infinity Festival;With Eirk Honoré and more;;streifenjunko;
2015-04-10;Czech Republic;Prague;Punkt meets Infinity Festival;Streifenjunko and Sheriffs of Nothingness;;streifenjunko;
2015-04-15;Norway;Oppegård;Oppegård kirkekulturfestival;Streifenjunko and Sheriffs of Nothingness;;streifenjunko;
